Flow,Occupancy,Speed
504.0,0.0098,69.7
504.0,0.0098,69.2
648.0,0.013000000000000001,69.2
576.0,0.011000000000000001,69.5
588.0,0.0112,69.8
684.0,0.0128,69.5
660.0,0.0127,69.5
648.0,0.0128,68.9
792.0,0.0156,69.1
756.0,0.0143,69.5
732.0,0.0143,68.9
780.0,0.0152,68.6
840.0,0.0167,69.1
768.0,0.0148,69.0
744.0,0.013999999999999999,69.8
888.0,0.0173,68.3
804.0,0.0152,69.4
816.0,0.0155,69.5
852.0,0.0165,68.9
1080.0,0.0203,69.3
1056.0,0.0217,68.7
1104.0,0.022000000000000002,68.2
984.0,0.0195,68.0
960.0,0.0196,67.6
1080.0,0.0205,68.0
780.0,0.0156,68.3
1116.0,0.0221,68.4
1140.0,0.0222,68.5
1092.0,0.0202,70.0
888.0,0.017,69.4
1212.0,0.0234,69.2
948.0,0.0191,68.6
1236.0,0.0237,69.5
792.0,0.0162,68.2
1080.0,0.0204,69.7
1080.0,0.0214,69.1
1188.0,0.0557,58.4
924.0,0.0177,65.0
1236.0,0.0238,66.7
1236.0,0.0248,66.8
1344.0,0.0259,68.0
1068.0,0.0212,68.0
1176.0,0.0226,68.6
1140.0,0.0216,69.1
1152.0,0.0224,68.9
1176.0,0.0235,68.6
1248.0,0.0239,69.3
1272.0,0.0247,69.2
1284.0,0.0251,69.3
1248.0,0.0236,68.8
1056.0,0.0208,68.9
1356.0,0.0266,68.6
1188.0,0.0236,68.1
1272.0,0.0247,68.4
1332.0,0.0258,68.7
1200.0,0.0232,68.7
1008.0,0.0199,68.5
1104.0,0.0211,69.6
912.0,0.0179,69.7
1284.0,0.0247,69.4
1008.0,0.0201,68.0
1008.0,0.0188,70.1
1188.0,0.0232,69.0
1236.0,0.0249,68.6
1236.0,0.0243,68.7
924.0,0.0186,68.0
804.0,0.0157,68.1
936.0,0.0184,68.4
948.0,0.0188,68.4
984.0,0.0181,70.1
1044.0,0.0209,68.5
1056.0,0.0206,69.0
912.0,0.0177,69.9
900.0,0.0181,69.5
996.0,0.0193,69.2
1236.0,0.0242,69.1
1032.0,0.0194,70.4
1092.0,0.0212,70.5
1260.0,0.0244,69.7
792.0,0.0147,69.6
1056.0,0.0202,70.3
972.0,0.0187,69.9
996.0,0.0194,70.2
1188.0,0.0232,70.3
1320.0,0.025,70.1
888.0,0.0171,70.7
1116.0,0.0221,69.8
1140.0,0.0232,69.7
840.0,0.0167,69.6
1140.0,0.0227,69.1
900.0,0.018000000000000002,68.8
1128.0,0.0231,68.9
816.0,0.016,68.9
1164.0,0.0251,68.1
996.0,0.0202,68.4
936.0,0.0187,68.5
660.0,0.0138,68.7
1008.0,0.0205,68.8
996.0,0.0202,68.8
1020.0,0.0202,68.8
804.0,0.0164,68.7
924.0,0.0183,69.4
840.0,0.0171,69.0
864.0,0.0191,67.9
840.0,0.0184,67.4
936.0,0.019,67.7
804.0,0.0159,68.6
696.0,0.0141,68.5
804.0,0.0164,69.1
1164.0,0.0235,68.6
828.0,0.0184,66.5
660.0,0.0132,68.5
492.0,0.0105,68.5
780.0,0.0159,69.0
960.0,0.0201,68.8
480.0,0.0102,68.0
576.0,0.0112,69.5
540.0,0.0103,68.2
624.0,0.0124,69.4
504.0,0.0113,69.4
444.0,0.0086,69.5
624.0,0.0126,68.7
612.0,0.0134,68.9
612.0,0.0128,68.2
480.0,0.0095,68.7
552.0,0.0111,68.4
492.0,0.0103,68.7
672.0,0.0131,69.9
636.0,0.0128,69.4
576.0,0.012,69.0
564.0,0.0116,69.3
660.0,0.0138,68.9
756.0,0.015,69.1
672.0,0.0139,68.9
588.0,0.0116,68.8
480.0,0.0096,68.7
612.0,0.012,69.3
540.0,0.0113,67.8
636.0,0.0131,69.2
348.0,0.0066,68.3
516.0,0.0109,68.5
528.0,0.0102,69.2
432.0,0.0089,69.0
528.0,0.0109,69.0
456.0,0.0083,69.5
372.0,0.0075,69.1
492.0,0.0096,69.6
552.0,0.0109,69.6
492.0,0.0095,69.9
444.0,0.0081,69.9
396.0,0.0084,69.3
240.0,0.0045,69.9
360.0,0.0071,68.6
276.0,0.0059,69.1
396.0,0.0079,69.2
252.0,0.0052,68.6
408.0,0.0076,69.7
192.0,0.0036,70.1
240.0,0.0045,70.2
216.0,0.0052,68.1
228.0,0.0044,69.1
264.0,0.0055,69.3
324.0,0.006999999999999999,69.0
336.0,0.0064,68.8
216.0,0.0044,68.1
144.0,0.0027,68.6
96.0,0.0018,68.0
204.0,0.0045,68.7
96.0,0.0018,68.7
96.0,0.002,69.0
96.0,0.0017,70.1
204.0,0.004,69.2
48.0,0.0009,70.3
72.0,0.0014,70.1
108.0,0.0026,68.9
144.0,0.0034,69.1
120.0,0.0025,68.3
96.0,0.0021,69.4
132.0,0.0034,69.0
96.0,0.0019,69.9
120.0,0.0025,69.1
156.0,0.0031,68.5
84.0,0.0017,68.1
72.0,0.0016,70.1
180.0,0.0044,69.0
36.0,0.0007,69.5
108.0,0.002,70.5
36.0,0.0007,70.5
96.0,0.0021,69.9
108.0,0.0021,70.5
72.0,0.0017,68.9
72.0,0.0014,70.1
96.0,0.0025,70.2
72.0,0.0019,66.1
132.0,0.0038,67.8
132.0,0.0036,67.8
120.0,0.0027,70.0
120.0,0.0036,67.9
108.0,0.0026,68.1
228.0,0.0048,69.3
132.0,0.0029,69.2
36.0,0.0009,70.3
120.0,0.0033,67.9
96.0,0.0025,70.4
84.0,0.0017,70.1
156.0,0.0027,68.5
132.0,0.0032,69.6
132.0,0.004,69.1
228.0,0.0069,68.1
132.0,0.0024,69.3
240.0,0.005,69.9
288.0,0.0062,68.8
192.0,0.0041,69.3
204.0,0.0042,68.8
276.0,0.0057,69.6
396.0,0.0085,69.3
372.0,0.0081,69.7
564.0,0.0134,68.8
732.0,0.0147,68.6
612.0,0.0122,69.5
792.0,0.0174,68.7
936.0,0.0177,70.0
1140.0,0.0246,68.2
1020.0,0.0193,69.6
840.0,0.0171,69.9
1296.0,0.0251,70.1
1176.0,0.0233,69.4
1332.0,0.0254,70.4
1632.0,0.0338,69.0
1776.0,0.0363,69.2
2544.0,0.0511,69.3
2412.0,0.05,68.5
2772.0,0.0562,68.7
2508.0,0.0517,68.5
2748.0,0.0539,69.4
3276.0,0.0703,67.6
2760.0,0.0597,66.5
3108.0,0.0658,66.4
3408.0,0.0717,67.1
3300.0,0.0702,67.3
4044.0,0.0867,67.0
4248.0,0.09300000000000001,66.3
4248.0,0.0915,66.4
4380.0,0.1002,64.6
4188.0,0.0943,64.3
4488.0,0.1022,63.6
4548.0,0.1029,63.6
3984.0,0.0919,63.1
3444.0,0.0772,63.5
4536.0,0.1006,64.1
3768.0,0.0844,64.1
3588.0,0.083,63.1
2952.0,0.0663,63.6
3924.0,0.0873,64.4
3444.0,0.1071,57.9
3564.0,0.0814,60.7
3624.0,0.0794,63.3
3648.0,0.081,64.1
2808.0,0.0583,66.3
3348.0,0.07,67.6
3000.0,0.0646,67.4
2988.0,0.0658,66.3
3444.0,0.0737,66.8
3408.0,0.0759,65.8
3120.0,0.0654,67.3
3612.0,0.0772,67.3
3816.0,0.0868,65.3
3120.0,0.0691,65.1
3384.0,0.0723,66.4
3420.0,0.0735,66.8
3684.0,0.0793,66.9
3564.0,0.0761,67.4
2844.0,0.0587,68.9
3324.0,0.0707,68.3
3444.0,0.0737,67.3
3180.0,0.067,67.6
3588.0,0.0756,67.4
2832.0,0.0584,68.3
3276.0,0.0689,67.9
3372.0,0.0704,68.2
3168.0,0.0666,67.8
2940.0,0.0608,68.0
2568.0,0.0531,68.4
3048.0,0.0598,70.2
2868.0,0.0594,69.3
2604.0,0.0521,70.1
2328.0,0.0491,68.4
2412.0,0.0517,67.2
2508.0,0.0506,68.1
2148.0,0.0438,68.5
2556.0,0.0505,69.0
2148.0,0.0417,70.1
2040.0,0.0424,68.4
1836.0,0.0379,67.8
2028.0,0.0414,68.4
1932.0,0.0403,68.2
1752.0,0.0348,69.4
1272.0,0.0274,68.0
1596.0,0.0361,66.8
1488.0,0.0291,69.7
1656.0,0.0344,67.9
1416.0,0.03,68.3
1224.0,0.026000000000000002,67.9
1512.0,0.0313,67.3
1392.0,0.0283,68.0
1296.0,0.0287,67.1
1452.0,0.03,67.4
1296.0,0.0269,67.2
1440.0,0.0282,68.8
1368.0,0.0281,68.1
1404.0,0.0275,69.4
1104.0,0.023,68.9
1344.0,0.027000000000000003,68.8
1164.0,0.0246,69.3
1380.0,0.0299,67.9
1236.0,0.0254,68.6
1008.0,0.0196,68.9
1380.0,0.0291,67.8
1260.0,0.0278,66.4
1284.0,0.0273,66.7
1212.0,0.0245,68.4
1488.0,0.0325,67.7
1152.0,0.0233,68.3
1200.0,0.025,68.6
960.0,0.0188,69.7
1116.0,0.0237,68.5
1248.0,0.0253,68.8
972.0,0.0203,68.2
1140.0,0.0231,68.7
1284.0,0.0283,68.0
1116.0,0.0234,67.9
1224.0,0.0242,68.9
1224.0,0.0272,67.4
948.0,0.0199,68.1
1020.0,0.0221,67.2
1392.0,0.0281,68.7
1308.0,0.0274,68.4
1140.0,0.0226,68.4
1080.0,0.0231,67.7
1044.0,0.0211,68.6
1116.0,0.0226,68.8
1584.0,0.0325,69.1
1320.0,0.0262,69.1
1140.0,0.0243,67.8
1260.0,0.0245,69.9
1116.0,0.0243,68.7
1008.0,0.0222,68.4
1044.0,0.0228,68.6
1224.0,0.0245,68.7
780.0,0.0163,69.1
1332.0,0.0275,68.6
984.0,0.0213,68.4
1236.0,0.0268,68.1
1056.0,0.0228,68.1
1224.0,0.025,69.3
1200.0,0.0242,69.6
1488.0,0.0316,68.6
1248.0,0.0264,69.2
1332.0,0.0286,67.9
1116.0,0.0246,67.6
1152.0,0.0244,67.5
1224.0,0.027999999999999997,66.4
1248.0,0.0243,69.2
1188.0,0.0263,67.7
1236.0,0.0267,67.9
1164.0,0.0254,67.6
1308.0,0.0269,68.8
1464.0,0.0332,67.1
912.0,0.0206,66.9
924.0,0.0209,67.2
1116.0,0.0232,68.8
1272.0,0.0287,67.6
984.0,0.0195,69.0
1380.0,0.0288,68.5
1368.0,0.0281,68.6
1248.0,0.026000000000000002,69.2
1152.0,0.0226,69.6
1284.0,0.0279,68.8
1116.0,0.0255,68.5
1248.0,0.0259,67.8
1044.0,0.0233,66.7
1080.0,0.0247,66.7
948.0,0.0208,67.2
1020.0,0.0216,67.5
1080.0,0.0227,67.9
1308.0,0.0279,67.2
1020.0,0.021,68.2
1116.0,0.0246,67.5
888.0,0.0183,68.5
960.0,0.021,67.9
1056.0,0.0234,66.4
984.0,0.0214,67.1
852.0,0.0183,67.6
720.0,0.015,68.2
780.0,0.016,68.6
744.0,0.0159,68.9
996.0,0.0218,67.5
588.0,0.0124,68.9
528.0,0.011000000000000001,69.3
624.0,0.0135,69.8
828.0,0.0164,69.4
660.0,0.0143,69.0
432.0,0.0098,67.8
612.0,0.0139,69.0
504.0,0.0105,68.8
348.0,0.0072,70.1
516.0,0.0106,69.1
576.0,0.0111,70.3
600.0,0.0127,68.8
480.0,0.0099,68.5
348.0,0.0084,68.5
552.0,0.0116,68.5
492.0,0.0096,69.6
516.0,0.0113,68.5
432.0,0.008,69.1
516.0,0.0114,68.3
372.0,0.008,68.4
468.0,0.0094,68.8
408.0,0.0084,69.2
528.0,0.0103,70.0
516.0,0.0111,68.9
444.0,0.0092,69.7
600.0,0.0119,69.5
420.0,0.0086,69.3
372.0,0.0074,69.3
372.0,0.0079,68.8
456.0,0.0096,68.9
432.0,0.0087,69.7
408.0,0.0079,69.8
336.0,0.0065,69.9
408.0,0.009000000000000001,69.0
396.0,0.0077,70.1
336.0,0.0065,69.8
432.0,0.0081,69.6
444.0,0.0092,69.6
552.0,0.0126,68.6
396.0,0.0082,68.4
456.0,0.0093,68.6
384.0,0.0081,67.9
288.0,0.0056,69.9
396.0,0.0079,69.4
168.0,0.0037,69.7
168.0,0.0032,70.0
240.0,0.005,70.4
192.0,0.0039,69.5
288.0,0.0065,70.1
180.0,0.0035,69.2
180.0,0.004,68.7
204.0,0.0042,69.0
192.0,0.0047,68.0
192.0,0.0043,69.5
264.0,0.0051,70.2
240.0,0.0047,70.0
120.0,0.0023,69.4
168.0,0.004,68.8
120.0,0.0026,68.8
156.0,0.0041,69.1
156.0,0.0029,70.5
168.0,0.0038,69.8
156.0,0.0035,68.7
144.0,0.0028,69.9
60.0,0.0026,66.4
84.0,0.0017,70.4
84.0,0.0016,68.8
60.0,0.0017,69.0
84.0,0.0018,69.7
36.0,0.0007,71.2
108.0,0.0022,70.0
60.0,0.0017,70.1
156.0,0.0034,69.6
144.0,0.0052,68.0
48.0,0.0009,70.0
36.0,0.0008,67.2
36.0,0.0008,70.5
96.0,0.0025,70.1
72.0,0.0013,68.9
108.0,0.0024,69.9
72.0,0.0017,67.5
48.0,0.0011,70.3
144.0,0.0027,70.5
72.0,0.0016,69.7
180.0,0.0048,69.4
72.0,0.0025,68.7
60.0,0.0017,69.4
120.0,0.0028,69.5
36.0,0.0007,69.9
132.0,0.0031,69.1
120.0,0.0024,68.9
180.0,0.0053,68.2
144.0,0.0046,68.8
180.0,0.0043,69.0
96.0,0.0023,69.0
132.0,0.0035,69.8
132.0,0.003,68.5
156.0,0.004,69.0
228.0,0.0049,68.9
156.0,0.0037,70.2
228.0,0.0068,68.5
360.0,0.0088,68.9
276.0,0.005,69.1
396.0,0.0081,70.5
312.0,0.0071,69.6
288.0,0.0059,70.1
396.0,0.0085,70.4
420.0,0.0082,69.8
504.0,0.0107,69.2
708.0,0.0145,69.4
732.0,0.0139,69.8
792.0,0.0161,69.6
744.0,0.0157,68.4
1140.0,0.0228,69.0
1164.0,0.023,69.2
1164.0,0.0231,70.0
1068.0,0.0206,70.8
1452.0,0.0293,70.9
1668.0,0.0339,69.9
1932.0,0.0377,70.8
1956.0,0.0406,70.9
2436.0,0.0518,68.5
2484.0,0.0499,69.2
2700.0,0.0591,67.2
2868.0,0.0599,67.6
3168.0,0.0641,68.5
3240.0,0.0682,67.9
3504.0,0.0753,66.8
3096.0,0.0664,66.4
3696.0,0.0786,65.9
3624.0,0.0765,66.0
3960.0,0.0862,65.0
4836.0,0.1038,65.1
4800.0,0.1167,61.3
4272.0,0.0976,61.2
5460.0,0.1252,61.2
4776.0,0.1181,59.0
5052.0,0.1247,58.0
4392.0,0.1055,58.1
4644.0,0.1129,58.0
3228.0,0.0721,60.2
4272.0,0.1012,59.7
4428.0,0.1075,58.9
3288.0,0.0765,59.6
3792.0,0.0879,60.0
3624.0,0.0817,61.1
4104.0,0.0877,63.4
3528.0,0.0795,62.8
3684.0,0.0827,62.6
3792.0,0.0848,62.6
3312.0,0.0712,63.8
3408.0,0.0725,64.8
3744.0,0.0832,64.1
3756.0,0.084,63.4
3876.0,0.0846,63.7
3684.0,0.0832,62.8
3996.0,0.0902,62.4
3156.0,0.0702,62.8
3336.0,0.0708,64.4
3600.0,0.0768,65.1
3564.0,0.0787,64.2
3588.0,0.0816,62.9
3804.0,0.0838,63.4
3504.0,0.076,64.1
2916.0,0.0624,64.7
3912.0,0.0896,63.8
3504.0,0.0759,65.0
3516.0,0.0766,65.4
3720.0,0.0855,64.2
3816.0,0.0813,65.7
3888.0,0.0875,64.9
3660.0,0.0791,65.5
3372.0,0.0722,66.4
2976.0,0.0647,66.4
3108.0,0.0616,69.3
2928.0,0.0606,69.4
2988.0,0.0615,69.4
2964.0,0.0635,68.3
2820.0,0.0597,68.3
2172.0,0.0446,69.2
2652.0,0.0563,68.4
2376.0,0.0501,68.3
2424.0,0.0503,68.9
1956.0,0.0402,69.7
2364.0,0.048,70.0
2148.0,0.0481,67.7
2256.0,0.0513,66.5
2172.0,0.0457,68.2
1812.0,0.0393,67.1
1740.0,0.0391,67.0
1668.0,0.0358,67.5
1872.0,0.0382,68.5
1608.0,0.0333,68.4
1608.0,0.0356,67.7
1284.0,0.0296,66.2
1476.0,0.0319,66.7
1416.0,0.0325,66.1
1548.0,0.0354,65.7
1404.0,0.0311,66.7
1272.0,0.0284,67.2
1440.0,0.0335,65.5
1500.0,0.0325,66.3
1332.0,0.0284,67.0
1476.0,0.0324,66.6
936.0,0.0202,66.4
972.0,0.0202,67.3
1332.0,0.0281,67.3
1152.0,0.0235,67.7
1392.0,0.0305,66.6
1296.0,0.0276,66.0
1572.0,0.0322,67.5
1224.0,0.0266,66.8
924.0,0.0188,67.9
1200.0,0.0279,66.8
1080.0,0.024,66.9
1260.0,0.0266,67.6
1224.0,0.0248,68.8
1068.0,0.0226,68.5
1164.0,0.0244,68.6
1560.0,0.0334,68.3
1308.0,0.0262,68.8
1380.0,0.0312,67.4
1272.0,0.0264,68.0
1212.0,0.0258,67.6
1116.0,0.0235,67.5
1056.0,0.0231,68.0
1260.0,0.0252,68.5
1272.0,0.0271,68.2
816.0,0.0194,67.2
1104.0,0.0233,67.3
1200.0,0.0581,56.0
1452.0,0.0325,61.1
1428.0,0.0315,63.4
1044.0,0.0224,65.1
1356.0,0.0302,66.1
984.0,0.0229,66.0
1164.0,0.0286,65.0
1284.0,0.0294,65.2
1092.0,0.0243,66.7
1356.0,0.0313,66.7
1128.0,0.0251,66.9
1368.0,0.0298,66.4
1020.0,0.0233,66.6
1188.0,0.0287,65.5
1188.0,0.0271,66.5
1320.0,0.03,66.4
1008.0,0.0203,68.2
1524.0,0.0329,67.7
1224.0,0.027000000000000003,68.1
1068.0,0.0237,68.8
1056.0,0.0228,69.4
1188.0,0.0273,68.9
1212.0,0.0291,67.5
1284.0,0.0302,66.8
1416.0,0.0303,68.7
1464.0,0.0316,69.2
1284.0,0.0277,69.3
1152.0,0.0265,68.8
1260.0,0.0273,68.6
1320.0,0.0299,67.9
1128.0,0.0257,68.1
1212.0,0.0274,68.1
1392.0,0.0298,68.4
1296.0,0.0264,70.0
1416.0,0.031,69.2
1176.0,0.0263,68.3
1164.0,0.0247,68.7
1296.0,0.0271,69.5
1140.0,0.0242,70.1
1188.0,0.0256,69.7
1236.0,0.0251,70.9
1404.0,0.0309,69.9
1296.0,0.0287,68.6
1152.0,0.0256,68.0
1212.0,0.0252,69.3
1140.0,0.0276,67.4
1344.0,0.0285,67.9
1236.0,0.0266,68.4
1224.0,0.0257,69.2
1164.0,0.0242,69.0
1020.0,0.0223,69.0
1188.0,0.0257,69.6
1164.0,0.0254,68.7
1044.0,0.0227,68.1
1008.0,0.0208,69.5
804.0,0.018000000000000002,68.6
600.0,0.0134,67.6
744.0,0.0181,66.7
684.0,0.0169,65.4
684.0,0.017,65.6
732.0,0.0177,65.0
612.0,0.0147,65.8
624.0,0.0153,65.5
636.0,0.0155,65.4
480.0,0.0114,65.3
408.0,0.0103,66.9
552.0,0.0135,65.8
468.0,0.0122,66.2
468.0,0.0109,65.5
504.0,0.0115,66.1
312.0,0.0069,67.7
384.0,0.0089,68.3
348.0,0.0077,67.8
444.0,0.0098,68.4
528.0,0.0115,68.2
516.0,0.0127,65.5
540.0,0.0118,66.6
480.0,0.0109,67.1
444.0,0.0093,68.5
492.0,0.0108,67.1
420.0,0.0091,68.5
408.0,0.009000000000000001,68.4
480.0,0.0118,67.1
456.0,0.0112,66.5
480.0,0.0117,67.0
360.0,0.0084,66.9
588.0,0.0135,67.0
612.0,0.0151,64.4
396.0,0.009000000000000001,66.0
360.0,0.0079,67.5
564.0,0.0125,66.9
444.0,0.0101,66.0
564.0,0.0131,67.0
420.0,0.0089,67.2
540.0,0.0118,67.8
456.0,0.0102,67.8
444.0,0.0094,68.3
264.0,0.0054,69.2
372.0,0.0075,68.8
408.0,0.0093,69.0
276.0,0.0057,69.5
324.0,0.0065,69.0
228.0,0.0056,69.0
144.0,0.0031,69.0
96.0,0.0019,70.1
96.0,0.0022,69.5
336.0,0.0071,69.5
216.0,0.0045,70.1
192.0,0.0042,69.3
192.0,0.0058,68.4
108.0,0.002,70.3
144.0,0.003,69.8
180.0,0.0037,69.9
228.0,0.0061,68.9
168.0,0.0034,68.7
120.0,0.0028,69.9
120.0,0.0022,70.3
132.0,0.0027,69.9
108.0,0.0023,69.2
204.0,0.0039,69.0
180.0,0.0043,69.2
168.0,0.0043,69.4
84.0,0.0023,69.2
96.0,0.002,69.1
132.0,0.0027,70.1
60.0,0.0014,69.1
48.0,0.0011,67.9
48.0,0.0011,70.1
108.0,0.0031,70.0
96.0,0.0022,69.1
120.0,0.0031,68.6
144.0,0.0031,69.2
84.0,0.0029,69.7
180.0,0.0065,68.1
84.0,0.0019,69.0
72.0,0.0018,69.4
168.0,0.0035,68.1
24.0,0.0004,69.8
108.0,0.0024,68.6
60.0,0.0014,70.6
108.0,0.0033,69.6
168.0,0.0045,69.3
132.0,0.0035,68.7
36.0,0.0005,70.4
84.0,0.0017,68.5
132.0,0.0027,69.5
132.0,0.0024,69.6
84.0,0.0024,69.4
108.0,0.0022,70.5
120.0,0.0034,69.4
72.0,0.0024,68.9
120.0,0.0036,68.5
84.0,0.0017,70.3
96.0,0.0019,69.4
108.0,0.0019,70.3
156.0,0.0036,69.1
168.0,0.0034,69.5
168.0,0.0036,68.9
180.0,0.0035,68.9
144.0,0.0036,69.5
384.0,0.0081,69.8
180.0,0.0033,69.6
192.0,0.0039,70.0
384.0,0.0088,69.0
312.0,0.008,68.7
456.0,0.0104,68.6
396.0,0.0085,69.4
564.0,0.0118,68.8
780.0,0.0162,69.1
900.0,0.0186,68.5
828.0,0.0163,69.3
1092.0,0.0227,69.0
1116.0,0.0236,69.1
1104.0,0.0235,68.0
1296.0,0.0285,67.1
1176.0,0.0238,68.3
1656.0,0.0318,70.7
1656.0,0.0331,70.7
1632.0,0.0335,71.1
2100.0,0.0425,70.4
2196.0,0.0461,69.2
2496.0,0.0543,68.0
3060.0,0.0645,68.4
3168.0,0.0676,67.8
3360.0,0.0703,68.3
2916.0,0.0649,66.7
3336.0,0.0748,65.4
2916.0,0.095,57.1
3564.0,0.0789,60.6
3672.0,0.0816,61.9
4284.0,0.0938,63.3
4440.0,0.10300000000000001,62.1
4680.0,0.1087,61.4
4860.0,0.1197,59.5
5400.0,0.1379,57.6
5232.0,0.1296,57.4
5280.0,0.13699999999999998,56.0
5220.0,0.1303,56.5
3972.0,0.0991,56.6
4620.0,0.1139,57.1
4212.0,0.1041,57.1
5040.0,0.1254,56.9
4368.0,0.1068,57.3
4092.0,0.0965,58.7
4236.0,0.1013,58.9
3852.0,0.0917,59.2
3288.0,0.0736,61.2
3792.0,0.0862,61.6
3864.0,0.0898,61.3
3528.0,0.0761,63.3
3132.0,0.0676,64.5
3456.0,0.0748,64.8
3864.0,0.11699999999999999,59.9
3912.0,0.0868,61.7
3840.0,0.0879,61.6
3840.0,0.0851,62.4
3840.0,0.0823,64.1
3900.0,0.0807,66.1
4092.0,0.0957,63.2
3540.0,0.0806,62.5
3792.0,0.081,64.2
3552.0,0.0803,63.2
3708.0,0.0839,62.8
3504.0,0.0738,65.3
3648.0,0.0825,64.2
4044.0,0.0883,64.8
3900.0,0.0839,65.6
3444.0,0.0722,66.8
4176.0,0.0911,66.2
3168.0,0.0662,67.3
3168.0,0.0638,69.1
3492.0,0.071,69.6
3348.0,0.0675,70.2
3312.0,0.0659,70.8
2988.0,0.0631,69.4
2760.0,0.061,67.8
2160.0,0.0453,67.7
2580.0,0.054000000000000006,68.1
2964.0,0.0642,67.7
2616.0,0.054000000000000006,68.5
2076.0,0.0438,68.8
2076.0,0.0415,69.6
2316.0,0.0465,70.4
2412.0,0.0511,69.1
2088.0,0.0431,69.5
1896.0,0.0396,69.3
2040.0,0.0425,70.2
1608.0,0.0337,69.1
1824.0,0.0358,70.0
1920.0,0.0386,70.3
1896.0,0.0383,70.3
1452.0,0.0298,69.8
1896.0,0.0404,69.2
1656.0,0.035,68.2
1440.0,0.028999999999999998,69.1
1404.0,0.0283,68.8
1752.0,0.0346,70.1
1476.0,0.0314,68.8
1248.0,0.0267,68.2
1452.0,0.0326,67.7
1524.0,0.0328,68.3
1368.0,0.0276,69.1
1356.0,0.0274,69.4
1188.0,0.0244,68.9
1152.0,0.023,69.8
1188.0,0.0245,69.1
1344.0,0.0276,69.0
1632.0,0.0345,67.8
1320.0,0.0274,67.7
1332.0,0.0287,67.9
1440.0,0.0301,67.9
1296.0,0.0265,68.4
1260.0,0.0263,69.1
1344.0,0.0304,66.8
924.0,0.0225,66.5
1404.0,0.0302,67.2
1236.0,0.0277,66.9
1308.0,0.0269,68.1
900.0,0.0191,67.9
1188.0,0.025,69.2
1284.0,0.0276,69.0
1212.0,0.0242,69.5
1080.0,0.023,68.3
1296.0,0.0275,69.0
